CLIP.GET 	 x	Get string from the Windows clipboard and store into x	Clipboard
CLIP.SET 	 x	Copy string x to the Windows clipboard	Clipboard
DATE 	 x	Store in x the current system date in the format: YYYY-MM-DD	Date and time
TIME 	 x	Store in x the current system time in the format: HH:MM:SS	Date and time
ASSERT 	 x, y	Abort program execution if x is not equal to y	Debugging
DEBUG 	 path	Save detailed information about the current machine state into a text file	Debugging
DEBUG.BRK 		Trigger a breakpoint (reserved for internal usage)	Debugging
MSGBOX 	 text	Show a modal message box, program is interrupted until OK button is pressed	Debugging
DECRYPT 	 x, text, key	Decrypt text into x using specified key (valid key must be from 0 to 127)	Encryption
ENCRYPT 	 x, text, key	Encrypt text into x using specified key (valid key must be from 0 to 127)	Encryption
CALL 	 label	Transfer execution to subroutine at label. Can return to the caller using the RET command	Execution flow
ENDIF 		Mark the end of a conditional code block	Execution flow
EXIT 		Terminate program and close window	Execution flow
GOTO 	 label	Transfer execution to code at label	Execution flow
HALT 		Terminate program but keep window open	Execution flow
IF.CALL 	 x, y, label	Transfer execution to subroutine at label only if x = y	Execution flow
IF.EQ 	 x, y	Begin a code block that will execute only if x = y	Execution flow
IF.FALSE 	 x	Begin a code block that will execute only if x <= 0	Execution flow
IF.GOTO 	 x, y, label	Transfer execution to code at label only if x = y	Execution flow
IF.GT 	 x, y	Begin a code block that will execute only if x > y	Execution flow
IF.GTE 	 x, y	Begin a code block that will execute only if x >= y	Execution flow
IF.LT 	 x, y	Begin a code block that will execute only if x < y	Execution flow
IF.LTE 	 x, y	Begin a code block that will execute only if x <= y	Execution flow
IF.NEQ 	 x, y	Begin a code block that will execute only if x does not equal y	Execution flow
IF.TRUE 	 x	Begin a code block that will execute only if x > 0	Execution flow
PAUSE 	 x	Pause program execution for x frames	Execution flow
RESET 		Restart machine and reload program	Execution flow
RET 		Return from subroutine	Execution flow
RUN 	 program_path	Launch a separate instance of the PTM to run the specified program file. The program path must be relative to the PTM executable	Execution flow
BRK 		Force exit loop prematurely	Execution loops
FOR 	 x, first, last_exclusive, step?	Begin a code block that will execute repeatedly as long as x < last. Current value will be assigned to x and will begin with the first value. X will be incremented by 1 (or by step, if specified) on every iteration	Execution loops
NEXT 		Mark the end of a code block loop	Execution loops
SKIP 		Skip current code block loop iteration	Execution loops
